法人区分,施設屋号,施設郵便番号,施設都道府県,施設市町村,施設住所１,施設住所２,施設電話番号,許可番号,枝番,業種名,細分類名,新規許可日,許可開始日,許可終了日,廃止日,抹消日 
0,ＧＯＭＥＳさん,939-0288,富山県,射水市,小林229-1,,0766-52-6564,557,1,飲食店営業,食堂,20041117,20191119,20241118,,0
1,アサダ食品総業（株）,934-0016,富山県,射水市,三日曽根10-25,,0766-82-2802,990449,1,豆腐製造業,,19711215,20201215,20251214,,0
1,アサヒ飲料　北陸工場,939-0635,富山県,下新川郡入善町,若栗新321-1,,0765-78-2800,991499,2,乳製品製造業,,19970707,20190707,20250706,,0
1,アサヒ飲料　北陸工場,939-0635,富山県,下新川郡入善町,若栗新321-1,,0765-78-2800,991499,1,清涼飲料水製造業,,19940201,20200201,20260131,,0
0,あざみグループ,939-1756,富山県,南砺市,土生新828,,,700136,102,農産保存食料品製造・加工業,,,,,,
1,ありがとう株式会社　ありがとうラーメン,933-0849,富山県,高岡市,横田本町8-15,,0766-20-7739,66,1,飲食店営業,食堂,20050407,20200425,20250424,,0
1,らあめん椿家,939-1371,富山県,砺波市,栄町3-2大江ﾋﾞﾙ第5NO3区画,,0763-33-4139,847,1,飲食店営業,めん類,20050317,20200319,20250318,,0
1,アルビス（株）生鮮センター,939-0402,富山県,射水市,流通センター水戸田3-8-1,,0766-56-7925,990926,2,食肉処理業,,19940224,20210224,20270223,,0
1,アルビス歌の森店,939-0351,富山県,射水市,戸破1569,,0766-57-1166,991348,2,食肉販売業,,19961126,20191126,20251125,,0
1,アルビス歌の森店,939-0351,富山県,射水市,戸破1569,,0766-57-1166,991348,1,飲食店営業,仕出し弁当,19961126,20191126,20251125,,0
1,アルビス歌の森店,939-0351,富山県,射水市,戸破1569,,0766-57-1166,991348,3,乳類販売業,,19961126,20141126,20211125,,0
1,アルビス歌の森店,939-0351,富山県,射水市,戸破1569,,0766-57-1166,991348,104,百貨店、総合スーパー,,,20211104,29990101,,
1,アルビスパスコ店,939-0363,富山県,射水市,中太閤山1-1-1,,0766-56-5551,991654,106,百貨店、総合スーパー,,,,,,
1,アルビスいみずの小杉店,939-0332,富山県,射水市,一条6-5,,,413,1,食肉販売業,,20031001,20211001,20270930,,0
1,アルビスいみずの小杉店,939-0332,富山県,射水市,一条6-5,,,413,3,飲食店営業,仕出し弁当,20031001,20211001,20270930,,0
1,アルビスいみずの小杉店,939-0332,富山県,射水市,一条6-5,,,413,4,菓子製造業,,20031001,20211001,20270930,,0
1,アルビスいみずの小杉店,939-0332,富山県,射水市,一条6-5,,,413,108,百貨店、総合スーパー,,,20210916,29990101,,
1,アルビスいみずの小杉店,939-0332,富山県,射水市,一条6-5,,,413,7,魚介類販売業,,20090525,20210525,20270524,,
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,502,7,乳類販売業,,20040722,20160722,20220721,,0
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,502,1,飲食店営業,そう菜,20040722,20220722,20280721,,0
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,502,4,飲食店営業,仕出し弁当,20040722,20220722,20280721,,0
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,502,3,魚介類販売業,,20040722,20220722,20280721,,0
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,502,2,食肉販売業,,20040722,20210722,20270721,,0
